,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
337,1630183,"McDaniels, Jaden",Jaden McDaniels,1,2020,2023,jaden_mcdaniels,jaden_mcdaniels,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,00
338,1629667,"McDaniels, Jalen",Jalen McDaniels,1,2019,2023,jalen_mcdaniels,jalen_mcdaniels,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
339,203926,"McDermott, Doug",Doug McDermott,1,2014,2023,doug_mcdermott,doug_mcdermott,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00
340,201580,"McGee, JaVale",JaVale McGee,1,2008,2023,javale_mcgee,javale_mcgee,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
341,1631121,"McGowens, Bryce",Bryce McGowens,1,2022,2023,bryce_mcgowens,bryce_mcgowens,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,01
342,1629162,"McLaughlin, Jordan",Jordan McLaughlin,1,2019,2023,jordan_mclaughlin,jordan_mclaughlin,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
343,1629001,"Melton, De'Anthony",De'Anthony Melton,1,2018,2023,deanthony_melton,deanthony_melton,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,01
344,1641877,"Mensah, Nathan",Nathan Mensah,0,2023,2023,nathan_mensah,nathan_mensah,0,,,,,,Y,11
345,1630241,"Merrill, Sam",Sam Merrill,1,2020,2023,sam_merrill,sam_merrill,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,01
346,1629002,"Metu, Chimezie",Chimezie Metu,1,2018,2023,chimezie_metu,chimezie_metu,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,01
347,203995,"Micic, Vasilije",Vasilije Micic,1,2023,2023,vasilije_micic,vasilije_micic,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
348,203114,"Middleton, Khris",Khris Middleton,1,2012,2023,khris_middleton,khris_middleton,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
349,1641706,"Miller, Brandon",Brandon Miller,1,2023,2023,brandon_miller,brandon_miller,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
350,1641757,"Miller, Jordan",Jordan Miller,1,2023,2023,jordan_miller,jordan_miller,1610612746,LA,Clippers,LAC,clippers,clippers,Y,11
351,1631159,"Miller, Leonard",Leonard Miller,1,2023,2023,leonard_miller,leonard_miller,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,11
352,201988,"Mills, Patty",Patty Mills,1,2009,2023,patty_mills,patty_mills,1610612748,Miami,Heat,MIA,heat,heat,Y,01
353,1629003,"Milton, Shake",Shake Milton,1,2018,2023,shake_milton,shake_milton,1610612752,New York,Knicks,NYK,knicks,knicks,Y,01
354,1631303,"Minaya, Justin",Justin Minaya,1,2022,2023,justin_minaya,justin_minaya,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,11
355,1631169,"Minott, Josh",Josh Minott,1,2022,2023,josh_minott,josh_minott,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,11
356,1630558,"Mitchell, Davion",Davion Mitchell,1,2021,2023,davion_mitchell,davion_mitchell,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
357,1628378,"Mitchell, Donovan",Donovan Mitchell,1,2017,2023,donovan_mitchell,donovan_mitchell,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
358,1630596,"Mobley, Evan",Evan Mobley,1,2021,2023,evan_mobley,evan_mobley,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
359,1630600,"Mobley, Isaiah",Isaiah Mobley,1,2022,2023,isaiah_mobley,isaiah_mobley,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,11
360,1628370,"Monk, Malik",Malik Monk,1,2017,2023,malik_monk,malik_monk,1610612758,Sacramento,Kings,SAC,kings,kings,Y,01
361,1630541,"Moody, Moses",Moses Moody,1,2021,2023,moses_moody,moses_moody,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01
362,1629875,"Moon, Xavier",Xavier Moon,1,2021,2023,xavier_moon,xavier_moon,1610612746,LA,Clippers,LAC,clippers,clippers,Y,11
363,1631386,"Moore, Taze",Taze Moore,0,2023,2023,taze_moore,taze_moore,0,,,,,,Y,11
364,1631111,"Moore Jr., Wendell",Wendell Moore Jr.,1,2022,2023,wendell_moore,wendell_moore_jr,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,11
365,1629630,"Morant, Ja",Ja Morant,1,2019,2023,ja_morant,ja_morant,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
366,202693,"Morris, Markieff",Markieff Morris,1,2011,2023,markieff_morris,markieff_morris,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00
367,1628420,"Morris, Monte",Monte Morris,1,2017,2023,monte_morris,monte_morris,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
368,202694,"Morris Sr., Marcus",Marcus Morris Sr.,1,2011,2023,marcus_morris,marcus_morris_sr,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,01
369,1630530,"Murphy III, Trey",Trey Murphy III,1,2021,2023,trey_murphy_iii,trey_murphy_iii,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01
370,1627749,"Murray, Dejounte",Dejounte Murray,1,2016,2023,dejounte_murray,dejounte_murray,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01
371,1627750,"Murray, Jamal",Jamal Murray,1,2016,2023,jamal_murray,jamal_murray,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00
372,1631099,"Murray, Keegan",Keegan Murray,1,2022,2023,keegan_murray,keegan_murray,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
373,1631200,"Murray, Kris",Kris Murray,1,2023,2023,kris_murray,kris_murray,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,11
374,203488,"Muscala, Mike",Mike Muscala,1,2013,2023,mike_muscala,mike_muscala,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,01
375,1629004,"Mykhailiuk, Svi",Svi Mykhailiuk,1,2018,2023,sviatoslav_mykhailiuk,svi_mykhailiuk,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,01
376,1631250,"Nance, Pete",Pete Nance,1,2023,2023,pete_nance,pete_nance,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,11
377,1626204,"Nance Jr., Larry",Larry Nance Jr.,1,2015,2023,larry_nance_jr,larry_nance_jr,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
378,1629614,"Nembhard, Andrew",Andrew Nembhard,1,2022,2023,andrew_nembhard,andrew_nembhard,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00
379,1630174,"Nesmith, Aaron",Aaron Nesmith,1,2020,2023,aaron_nesmith,aaron_nesmith,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,01
380,1627777,"Niang, Georges",Georges Niang,1,2016,2023,georges_niang,georges_niang,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,01
381,1630227,"Nix, Daishen",Daishen Nix,1,2021,2023,daishen_nix,daishen_nix,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,11
382,1630192,"Nnaji, Zeke",Zeke Nnaji,1,2020,2023,zeke_nnaji,zeke_nnaji,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00
383,1629669,"Nowell, Jaylen",Jaylen Nowell,0,2019,2023,jaylen_nowell,jaylen_nowell,0,,,,,,Y,11
384,1641806,"Nowell, Markquis",Markquis Nowell,0,2023,2023,markquis_nowell,markquis_nowell,0,,,,,,Y,11
385,1628373,"Ntilikina, Frank",Frank Ntilikina,0,2017,2023,frank_ntilikina,frank_ntilikina,0,,,,,,Y,00
386,203994,"Nurkic, Jusuf",Jusuf Nurkic,1,2014,2023,jusuf_nurkic,jusuf_nurkic,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
387,1629670,"Nwora, Jordan",Jordan Nwora,1,2020,2023,jordan_nwora,jordan_nwora,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
388,1626220,"O'Neale, Royce",Royce O'Neale,1,2017,2023,royce_o'neale,royce_oneale,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
389,1629643,"Okeke, Chuma",Chuma Okeke,1,2020,2023,chuma_okeke,chuma_okeke,1610612753,Orlando,Magic,ORL,magic,magic,Y,01
390,1629006,"Okogie, Josh",Josh Okogie,1,2018,2023,josh_okogie,josh_okogie,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
